Index,Total Frames,Difference
487,1524,550
488,1526,550
489,1528,550
490,1530,550
491,1532,550
492,1534,550
493,1536,550
494,1538,550
495,1540,550
496,1542,550
497,1544,550
498,1546,550
499,1548,550
500,1550,550
501,1552,550
502,1554,550
503,1556,550
504,1558,550
505,1560,550
506,1562,550
507,1564,550
508,1566,550
509,1568,550
510,1570,550
511,1572,550
512,1574,550
513,1576,550
514,1578,550
515,1580,550
516,1582,550
517,1584,550
518,1586,550
519,1588,550
520,1590,550
521,1592,550
522,1594,550
523,1596,550
524,1598,550
525,1600,550
526,1602,550
527,1604,550
528,1606,550
529,1608,550
530,1610,550
531,1612,550
532,1614,550
533,1616,550
534,1618,550
535,1620,550
536,1622,550
537,1624,550
538,1626,550
539,1628,550
540,1630,550
541,1632,550
542,1634,550
543,1636,550
544,1638,550
545,1640,550
546,1642,550
547,1644,550
548,1646,550
549,1648,550
550,1650,550
551,1652,550
552,1654,550
553,1656,550
554,1658,550
555,1660,550
556,1662,550
557,1664,550
558,1666,550
559,1668,550
560,1670,550
561,1672,550
562,1674,550
563,1676,550
564,1678,550
565,1680,550
566,1682,550
567,1684,550
568,1686,550
569,1688,550
570,1690,550
571,1692,550
572,1694,550
573,1696,550
574,1698,550
575,1700,550
576,1702,550
577,1704,550
578,1706,550
579,1708,550
580,1710,550
581,1712,550
582,1714,550
583,1716,550
584,1718,550
585,1720,550
586,1722,550
587,1724,550
588,1726,550
589,1728,550
590,1730,550
591,1732,550
592,1734,550
593,1736,550
594,1738,550
595,1740,550
596,1742,550
597,1744,550
598,1746,550
599,1748,550
600,1750,550
601,1752,550
602,1754,550
603,1756,550
604,1758,550
605,1760,550
606,1762,550
607,1764,550
608,1766,550
609,1768,550
610,1770,550
611,1772,550
612,1774,550
613,1776,550
614,1778,550
615,1780,550
616,1782,550
617,1784,550
618,1786,550
619,1788,550
620,1790,550
621,1792,550
622,1794,550
623,1796,550
624,1798,550
625,1800,550
626,1802,550
627,1804,550
628,1806,550
629,1808,550
630,1810,550
631,1812,550
632,1814,550
633,1816,550
634,1818,550
635,1820,550
636,1822,550
637,1824,550
638,1826,550
639,1828,550
640,1830,550
641,1832,550
642,1834,550
643,1836,550
644,1838,550
645,1840,550
646,1842,550
647,1844,550
648,1846,550
649,1848,550
650,1850,550
651,1852,550
652,1854,550
653,1856,550
654,1858,550
655,1860,550
656,1862,550
657,1864,550
658,1866,550
659,1868,550
660,1870,550
661,1872,550
662,1874,550
663,1876,550
664,1878,550
665,1880,550
666,1882,550
667,1884,550
668,1886,550
669,1888,550
670,1890,550
671,1892,550
672,1894,550
673,1896,550
674,1898,550
675,1900,550
676,1902,550
677,1904,550
678,1906,550
679,1908,550
680,1910,550
681,1912,550
682,1914,550
683,1916,550
684,1918,550
685,1920,550
686,1922,550
687,1924,550
688,1926,550
689,1928,550
690,1930,550
691,1932,550
692,1934,550
693,1936,550
694,1938,550
695,1940,550
696,1942,550
697,1944,550
698,1946,550
699,1948,550
700,1950,550
701,1952,550
702,1954,550
